x,y
0,0
0.133587,1.5294e-05
0.266146,6.09728e-05
0.397688,0.000136746
0.528223,0.000242344
0.657763,0.000377515
0.786317,0.000542029
0.913898,0.000735675
1.04052,0.000958261
1.16618,0.00120962
1.2909,0.00148959
1.4147,0.00179804
1.53757,0.00213487
1.65953,0.00249998
1.7806,0.00289329
1.90077,0.00331476
2.02007,0.00376434
2.13851,0.00424203
2.25609,0.00474784
2.37282,0.00528178
2.48872,0.0058439
2.6038,0.00643428
2.71806,0.00705298
2.83153,0.00770013
2.9442,0.00837584
3.0561,0.00908025
3.16722,0.00981353
3.27759,0.0105759
3.38721,0.0113675
3.49609,0.0121885
3.60425,0.0130393
3.71169,0.0139201
3.81843,0.0148312
3.92448,0.0157728
4.02984,0.0167453
4.13453,0.0177491
4.23855,0.0187844
4.34193,0.0198518
4.44467,0.0209515
4.54678,0.022084
4.64827,0.0232497
4.74915,0.0244491
4.84944,0.0256828
4.94914,0.0269511
5.04827,0.0282546
5.14683,0.0295938
5.24484,0.0309693
5.3423,0.0323817
5.43923,0.0338316
5.53564,0.0353195
5.63155,0.0368462
5.72695,0.0384123
5.82186,0.0400184
5.91629,0.0416653
6.01025,0.0433537
6.10376,0.0450842
6.19682,0.0468578
6.28945,0.0486751
6.38165,0.0505369
6.47343,0.0524441
6.56482,0.0543974
6.65581,0.0563979
6.74642,0.0584462
6.83665,0.0605433
6.92653,0.0626902
7.01606,0.0648877
7.10524,0.0671369
7.1941,0.0694386
7.28264,0.071794
7.37088,0.0742039
7.45882,0.0766694
7.54647,0.0791917
7.63385,0.0817716
7.72096,0.0844104
7.80782,0.0871092
7.89443,0.0898691
7.98082,0.0926912
8.06698,0.0955767
8.15294,0.0985268
8.23869,0.101543
8.32425,0.104626
8.40963,0.107777
8.49485,0.110998
8.57991,0.114289
8.66482,0.117653
8.7496,0.12109
8.83425,0.124602
8.91879,0.128191
9.00322,0.131857
9.08756,0.135602
9.17182,0.139427
9.256,0.143334
9.34012,0.147325
9.4242,0.1514
9.50823,0.155562
9.59223,0.159811
9.67622,0.16415
9.76019,0.16858
9.84417,0.173102
9.92817,0.177719
10.0122,0.182431
10.0962,0.187241
10.1803,0.19215
10.2645,0.19716
10.3487,0.202272
10.433,0.207488
10.5174,0.21281
10.6019,0.21824
10.6865,0.22378
10.7712,0.229431
10.856,0.235195
10.941,0.241074
11.0261,0.247069
11.1114,0.253184
11.1969,0.259419
11.2826,0.265776
11.3684,0.272258
11.4545,0.278866
11.5407,0.285603
11.6272,0.29247
11.714,0.29947
11.8009,0.306604
11.8882,0.313875
11.9757,0.321284
12.0635,0.328834
12.1515,0.336527
12.2399,0.344364
12.3286,0.352349
12.4176,0.360483
12.5069,0.368769
12.5966,0.377208
12.6867,0.385803
12.7771,0.394556
12.8678,0.40347
12.959,0.412547
13.0506,0.421789
13.1425,0.431198
13.2349,0.440777
13.3277,0.450528
13.4209,0.460453
13.5146,0.470556
13.6088,0.480838
13.7034,0.491302
13.7985,0.50195
13.8941,0.512785
13.9902,0.523809
14.0868,0.535025
14.1839,0.546436
14.2816,0.558043
14.3798,0.56985
14.4786,0.581859
14.5779,0.594074
14.6778,0.606495
14.7783,0.619127
14.8794,0.631971
14.9811,0.645032
15.0834,0.65831
15.1863,0.671809
15.2899,0.685533
15.3941,0.699482
15.499,0.713661
15.6045,0.728073
15.7108,0.742719
15.8177,0.757604
15.9253,0.772729
16.0337,0.788098
16.1428,0.803713
16.2526,0.819579
16.3631,0.835696
16.4744,0.85207
16.5865,0.868702
16.6993,0.885595
16.8129,0.902753
16.9274,0.920179
17.0426,0.937876
17.1587,0.955846
17.2755,0.974094
17.3933,0.992622
17.5118,1.01143
17.6312,1.03053
17.7515,1.04992
17.8727,1.0696
17.9948,1.08957
18.1178,1.10985
18.2417,1.13043
18.3665,1.15131
18.4922,1.17251
18.6189,1.19401
18.7465,1.21584
18.8751,1.23798
19.0047,1.26044
19.1353,1.28324
19.2669,1.30636
